offense_category,total_offenses,drugs_narcotics,percentage_of_offense_category,alcohol,percentage_of_offense_category_1
Total,8879554,668274,0.07525986102455146,326319,0.03674948088608955
Crimes Against Persons,2235209,64867,0.029020552440510036,219470,0.09818768625215808
Assault Offenses,2063341,57557,0.027895049824532156,206286,0.09997668829340375
Homicide Offenses,11815,701,0.05933135844265764,692,0.05856961489631824
Human Trafficking,1576,98,0.06218274111675127,25,0.015862944162436547
Kidnapping/Abduction,31216,1680,0.053818554587391085,2927,0.09376601742696053
Sex Offenses,127261,4831,0.03796135501056883,9540,0.07496405025891671
Crimes Against Property,5371208,61097,0.01137490858667175,58849,0.010956380762018525
Arson,21827,447,0.02047922298071196,528,0.024190223118156412
Bribery,622,56,0.09003215434083602,70,0.11254019292604502
Burglary/Breaking & Entering,522396,7218,0.013817104265729447,5452,0.010436527079074113
Counterfeiting/Forgery,102486,1941,0.018939172179614775,781,0.00762055305114845
Destruction/Damage/Vandalism,1016601,12211,0.012011595503053803,27437,0.02698895633586825
Embezzlement,19818,173,0.008729437884751235,53,0.0026743364618024017
Extortion/Blackmail,9141,44,0.0048134777376654635,32,0.0035007110819385186
Fraud Offenses,643400,5106,0.007935965184954928,2580,0.004009947155735157
Larceny/Theft Offenses,2453042,21103,0.008602787885409219,16621,0.006775668741097788
Motor Vehicle Theft,406910,4174,0.01025779656435084,2224,0.0054655820697451524
Robbery,102658,2217,0.02159597888133414,1805,0.01758265308110425
Stolen Property Offenses,72307,6407,0.08860829518580497,1266,0.017508678274579224
Crimes Against Society,1273137,542310,0.4259635844374957,48000,0.037702148315538704
Animal Cruelty,11565,115,0.009943795936013834,229,0.019801124081279722
Drug/Narcotic Offenses,1039352,521727,0.5019733449303028,33989,0.03270210669724982
Gambling Offenses,1444,18,0.012465373961218837,20,0.013850415512465374
Pornography/Obscene Material,25268,118,0.004669938261833148,131,0.005184422985594427
Prostitution Offenses,7363,340,0.04617683009642809,102,0.013853049028928427
Weapon Law Violations,188145,19992,0.10625847086024078,13529,0.07190730553562412
